"citizen","geo","time","values","iso2"
"Barbados","Poland",2015-09-01,0,"PL"
"Barbados","Portugal",2015-09-01,NA,"PT"
"Barbados","Romania",2015-09-01,NA,"RO"
"Barbados","Sweden",2015-09-01,0,"SE"
"Barbados","Slovenia",2015-09-01,NA,"SI"
"Barbados","Slovakia",2015-09-01,NA,"SK"
"Barbados","Total",2015-09-01,0,"TOTAL"
"Barbados","United Kingdom",2015-09-01,NA,"UK"
"Bangladesh","Austria",2015-09-01,NA,"AT"
"Bangladesh","Belgium",2015-09-01,10,"BE"
"Bangladesh","Bulgaria",2015-09-01,0,"BG"
"Bangladesh","Switzerland",2015-09-01,15,"CH"
"Bangladesh","Cyprus",2015-09-01,NA,"CY"
"Bangladesh","Czech Republic",2015-09-01,NA,"CZ"
"Bangladesh","Germany (until 1990 former territory of the FRG)",2015-09-01,50,"DE"
"Bangladesh","Denmark",2015-09-01,NA,"DK"
"Bangladesh","Estonia",2015-09-01,NA,"EE"
"Bangladesh","Greece",2015-09-01,NA,"EL"
"Bangladesh","Spain",2015-09-01,NA,"ES"
"Bangladesh","European Union (28 countries)",2015-09-01,95,"EU28"
"Bangladesh","Finland",2015-09-01,10,"FI"
"Bangladesh","France",2015-09-01,NA,"FR"
"Bangladesh","Croatia",2015-09-01,NA,"HR"
"Bangladesh","Hungary",2015-09-01,NA,"HU"
"Bangladesh","Ireland",2015-09-01,NA,"IE"
"Bangladesh","Iceland",2015-09-01,NA,"IS"
"Bangladesh","Italy",2015-09-01,NA,"IT"
"Bangladesh","Liechtenstein",2015-09-01,0,"LI"
"Bangladesh","Lithuania",2015-09-01,NA,"LT"
"Bangladesh","Luxembourg",2015-09-01,NA,"LU"
"Bangladesh","Latvia",2015-09-01,NA,"LV"
"Bangladesh","Malta",2015-09-01,NA,"MT"
"Bangladesh","Netherlands",2015-09-01,NA,"NL"
"Bangladesh","Norway",2015-09-01,5,"NO"
"Bangladesh","Poland",2015-09-01,0,"PL"
"Bangladesh","Portugal",2015-09-01,NA,"PT"
"Bangladesh","Romania",2015-09-01,NA,"RO"
"Bangladesh","Sweden",2015-09-01,25,"SE"
"Bangladesh","Slovenia",2015-09-01,NA,"SI"
"Bangladesh","Slovakia",2015-09-01,NA,"SK"
"Bangladesh","Total",2015-09-01,115,"TOTAL"
"Bangladesh","United Kingdom",2015-09-01,NA,"UK"
"Belgium","Austria",2015-09-01,NA,"AT"
"Belgium","Belgium",2015-09-01,0,"BE"
"Belgium","Bulgaria",2015-09-01,0,"BG"
"Belgium","Switzerland",2015-09-01,0,"CH"
"Belgium","Cyprus",2015-09-01,NA,"CY"
"Belgium","Czech Republic",2015-09-01,NA,"CZ"
"Belgium","Germany (until 1990 former territory of the FRG)",2015-09-01,0,"DE"
"Belgium","Denmark",2015-09-01,NA,"DK"
"Belgium","Estonia",2015-09-01,NA,"EE"
"Belgium","Greece",2015-09-01,NA,"EL"
"Belgium","Spain",2015-09-01,NA,"ES"
"Belgium","European Union (28 countries)",2015-09-01,0,"EU28"
"Belgium","Finland",2015-09-01,0,"FI"
"Belgium","France",2015-09-01,NA,"FR"
"Belgium","Croatia",2015-09-01,NA,"HR"
"Belgium","Hungary",2015-09-01,NA,"HU"
"Belgium","Ireland",2015-09-01,NA,"IE"
"Belgium","Iceland",2015-09-01,NA,"IS"
"Belgium","Italy",2015-09-01,NA,"IT"
"Belgium","Liechtenstein",2015-09-01,0,"LI"
"Belgium","Lithuania",2015-09-01,NA,"LT"
"Belgium","Luxembourg",2015-09-01,NA,"LU"
